task_name,job_name
M1,j_119
R2_1,j_119
M1,j_137
R2_1,j_137
M3,j_145
R2_1,j_145
M1,j_145
J4_2_3,j_145
M7,j_175
R10_9,j_175
R2_1,j_175
M5,j_175
M9_2_4_6_8,j_175
M3,j_175
R8_7,j_175
R6_5,j_175
M1,j_175
R4_3,j_175
M3,j_295
R2_1,j_295
R5_4,j_295
R1_3,j_295
M6_2_5,j_295
R4_3,j_295
J3_1_2,j_382
R1_2,j_382
M2,j_382
R4_3,j_382
R2_1,j_470
M1,j_470
M1,j_702
J2_1,j_702
J8_2_5_7,j_880
R5_4,j_880
R4_3,j_880
M6,j_880
R7_6,j_880
R2_1,j_880
M1,j_880
M3,j_880
M1,j_1007
R2_1,j_1007
R4_3,j_1135
M3_2,j_1135
R6_5,j_1135
R2_1,j_1135
M1,j_1135
M5_4,j_1135
R2_1,j_1261
M1,j_1261
R2_1,j_1334
M1,j_1334
R43_33,j_2016
J36_11_12_14,j_2016
M3,j_2016
J50_34_42_43_46_48_49,j_2016
R51_33,j_2016
R5_7,j_2016
R46_36,j_2016
J7_1_4_6_13_14,j_2016
J29_22_23_24_25_27_28,j_2016
R45_20,j_2016
M12,j_2016
R30_33,j_2016
J33_1_4_6_14_32_35_44_45,j_2016
R26_20,j_2016
R48_18,j_2016
R16_15,j_2016
R53_36,j_2016
R31_33,j_2016
M6,j_2016
R56_20,j_2016
R52_33,j_2016
R35_20,j_2016
M11,j_2016
J41_30_31_34_37_39_40,j_2016
J57_34_51_52_53_55_56,j_2016
R38_20,j_2016
R24_9,j_2016
R42_33,j_2016
R17_20,j_2016
R19_18,j_2016
R54_20,j_2016
R2_7,j_2016
R44_20,j_2016
R32_20,j_2016
R25_15,j_2016
M8,j_2016
R10_9,j_2016
R39_18,j_2016
M14_13_35_45,j_2016
M20,j_2016
J4_3_12,j_2016
J34_8_33,j_2016
R13_20,j_2016
J21_2_5_10_16_19_20,j_2016
R22_7,j_2016
R55_18,j_2016
R47_20,j_2016
J15_11_12_14,j_2016
M18_17_26_38_47_54,j_2016
R37_36,j_2016
R23_7,j_2016
R40_20,j_2016
J9_7_8,j_2016
R49_20,j_2016
R27_18,j_2016
M1,j_2016
R28_20,j_2016
M1,j_2060
M3_2,j_2060
R4_3,j_2060
R2_1,j_2060
J6_2_3_5,j_2094
R1_3,j_2094
R4_3,j_2094
R5_4,j_2094
M3,j_2094
R2_1,j_2094
R2_1,j_2113
M1,j_2113
R3_2,j_2136
J2_1,j_2136
M1,j_2136
R24_23,j_2637
R11_10,j_2637
J17_11_12_15_16,j_2637
R2_1,j_2637
M8,j_2637
J19_7_18,j_2637
R4_3,j_2637
R9_8,j_2637
M13,j_2637
R22_21,j_2637
M7,j_2637
R3_2,j_2637
M12,j_2637
M6,j_2637
J1_6_19,j_2637
R21_20,j_2637
R5_4,j_2637
M15_14,j_2637
J18_9_17,j_2637
R14_13,j_2637
J20_6_19,j_2637
M16,j_2637
M10,j_2637
R23_5_22,j_2637
M2,j_2874
M3,j_2874
R7_6,j_2874
R6_5,j_2874
M4,j_2874
M1,j_2874
J5_1_2_3_4,j_2874
R14_2_3_5_9_10_13,j_2954
R4_6,j_2954
R1_6,j_2954
R12_11,j_2954
R13_12,j_2954
R8_7,j_2954
R2_1,j_2954
R9_8,j_2954
M11,j_2954
R3_4,j_2954
R5_4,j_2954
M10,j_2954
M6,j_2954
J7_6,j_2954
M2,j_2971
M1,j_2971
R5_4,j_2971
M6,j_2971
R8_7,j_2971
J4_1_2_3,j_2971
M3,j_2971
J7_5_6,j_2971
R6_5,j_3078
M5,j_3078
J8_2_7,j_3078
R2_1,j_3078
R7_4_6,j_3078
M1,j_3078
M3,j_3078
R4_3,j_3078
J4_2_3,j_3241
M3,j_3241
M1,j_3241
J2_1_3,j_3241
M4_3,j_3287
R5_4,j_3287
M1,j_3287
R3_2,j_3287
R2_1,j_3287
R6_5,j_3338
R2_1,j_3338
M14_4_6_8_11_13,j_3338
R10_9,j_3338
R13_12,j_3338
M3,j_3338
R4_3,j_3338
M1,j_3338
J15_2_14,j_3338
M7,j_3338
R11_10,j_3338
R5_9,j_3338
M9,j_3338
R17_16,j_3338
R16_15,j_3338
M12,j_3338
R8_7,j_3338
R2_1,j_3633
M1,j_3633
M1,j_3652
R4_3,j_3652
M3_2,j_3652
R2_1,j_3652
R4_3,j_3780
R2_1,j_3780
M3_2,j_3780
M1,j_3780
R5_4,j_3808
M3,j_3808
R2_1,j_3808
M6_2_5,j_3808
R4_3,j_3808
M1,j_3808
M15_11_14,j_3964
M6,j_3964
M3,j_3964
M7,j_3964
R11_10,j_3964
M4,j_3964
M8,j_3964
R5_4,j_3964
R10_9,j_3964
M9,j_3964
J16_2_3_5_6_7_8_15,j_3964
R13_12,j_3964
M1,j_3964
R14_13,j_3964
M12,j_3964
R2_1,j_3964
M3,j_4018
M1,j_4018
R2_1,j_4018
J4_2_3,j_4018
R6_5,j_4084
R2_3,j_4084
M3,j_4084
J5_1_2_4,j_4084
R4_3,j_4084
R1_3,j_4084
M2,j_4172
M1,j_4172
J3_1_2,j_4172
M4,j_4172
J5_3_4,j_4172
M1,j_4255
J4_1_2_3,j_4255
M3,j_4255
M2,j_4255
J3_1_2,j_4400
M2,j_4400
J6_4_5,j_4400
M5,j_4400
M4,j_4400
M1,j_4400
R2_1,j_4501
M1,j_4501
M1,j_4659
R2_1,j_4659
M2,j_4934
M1,j_4934
J3_1_2,j_4944
M1,j_4944
M2,j_4944
R5_4,j_4944
R4_3,j_4944
M1,j_5084
R3_2,j_5084
R2_1,j_5084
R2_1,j_5234
M1,j_5234
M1,j_5306
R2_1,j_5306
R3_2,j_5423
M1,j_5423
R2_1,j_5423
R6_5,j_5476
